location_id,street_address,city,state,postal_code,restaurant
HD-241,242 Hwy 49,Byron,GA,31008,HD
HD-242,98 U S Highway 84,Cairo,GA,39828,HD
HD-243,2284 Us 41 Hwy Nw,Calhoun,GA,30701,HD
HD-244,161 Marietta Hwy,Canton,GA,30114,HD
HD-245,1375 S Park St,Carrollton,GA,30117,HD
HD-246,1099 North Third St,Chatsworth,GA,30705,HD
HD-247,12876 N. Highway 27,Chickamauga,GA,30707,HD
HD-248,226 W Crawford St,Colquitt,GA,39837,HD
HD-249,3848 St Marys Rd,Columbus,GA,31906,HD
HD-250,2501 Airport Thruway,Columbus,GA,31904,HD
HD-251,44 Homer Rd,Commerce,GA,30529,HD
HD-252,2930 Highway 138 Sw,Conyers,GA,30094,HD
HD-253,1702 E 16th Ave,Cordele,GA,31015,HD
HD-254,3112 Hwy 278 W,Covington,GA,30014,HD
HD-255,125 W Maple St,Cumming,GA,30040,HD
HD-256,1301 Glenwood Ave,Dalton,GA,30721,HD
HD-257,580 E Walnut Ave,Dalton,GA,30721,HD
HD-258,350 General Daniel Ave N,Danielsville,GA,30633,HD
HD-259,899 Forrester Dr Se,Dawson,GA,39842,HD
HD-260,310 E 3Rd St,Donalsonville,GA,39845,HD
HD-261,1392 Bowens Mill Rd Sw,Douglas,GA,31533,HD
HD-262,1208 Industrial Blvd,East Ellijay,GA,30540,HD
HD-263,3062 Anvil Block Rd,Ellenwood,GA,30294,HD
HD-264,4360 WASHINGTON RD,Evans,GA,30809,HD
HD-265,975 N Glynn St,Fayetteville,GA,30214,HD
HD-266,260 N Lee St,Forsyth,GA,31029,HD
HD-267,2154 Franklin Parkway,Franklin,GA,30217,HD
HD-268,1086 Battlefield Parkway,Ft Oglethorpe,GA,30742,HD
HD-269,Sonny Perdue Dr. And Dean Forrest Rd,Garden City,GA,31408,HD
HD-270,1619 N Expressway,Griffin,GA,30223,HD
HD-271,4305 WRIGHTSBORO ROAD,GROVETOWN,GA,30813,HD
HD-272,310 Milledgeville Road,Harlem,GA,30814,HD
HD-273,341 Broad St,Hawkinsville,GA,31036,HD
HD-274,21 E Coffee St,Hazlehurst,GA,31539,HD
HD-275,3696 WINDSOR SPRING RD,HEPHZIBAH,GA,30815,HD
HD-276,1090 North 1st St,Jesup,GA,31545,HD
HD-277,813 N Main St,La Fayette,GA,30728,HD
HD-278,603 S Valdosta Rd,Lakeland,GA,31635,HD
HD-279,7212 LAKES BLVD,LAKE PARK,GA,31636,HD
HD-280,14010 Jones St,Lavonia,GA,30553,HD
HD-281,258 Us 19 S,Leesburg,GA,31763,HD
HD-282,112 ELM STREET,LINCOLNTON,GA,30817,HD
HD-283,940 Thornton Rd,Lithia Springs,GA,30122,HD
HD-284,4850 Floyd Rd Sw,Mableton,GA,30126,HD
HD-285,1500 Monticello Rd,Madison,GA,30650,HD
HD-286,182 Keys Ferry St,Mcdonough,GA,30253,HD
HD-287,1575 Highway 20 W,Mcdonough,GA,30253,HD
HD-288,7000 Ruffie Way,Midland,GA,31820,HD
HD-289,315 S Broad St,Monroe,GA,30655,HD
HD-290,1729 1st Ave Se,Moultrie,GA,31768,HD
HD-291,620 South Davis,Nashville,GA,31639,HD
HD-292,231 Temple Ave,Newnan,GA,30263,HD
HD-293,4201 Sharpsburg Mccullum Rd,Newnan,GA,30265,HD
HD-294,4538 Oakwood Rd,Oakwood,GA,30566,HD
HD-295,135 Curry St Ne,Pelham,GA,31779,HD
HD-296,100 Governor Treutlen Rd,Pooler,GA,31322,HD
HD-297,5486 Alabama Hwy,Ringgold,GA,30736,HD
HD-298,3110 Cedartown Hwy Sw,Rome,GA,30161,HD
HD-299,1204 Turner Mccall Blvd,Rome,GA,30161,HD
HD-300,300 Mcfarland Ave,Rossville,GA,30741,HD
HD-301,1031 Franklin Springs St,Royston,GA,30662,HD
HD-302,195 Walmart Circle,Sandersville,GA,31082,HD
HD-303,6671 Roswell Rd Ne,Sandy Springs,GA,30328,HD
HD-304,1 GATEWAY BLVD S,SAVANNAH,GA,31419,HD
HD-305,5259 Stone Mountain Hwy,Stone Mountain,GA,30087,HD
HD-306,501 S MAIN ST,SWAINSBORO,GA,30401,HD
HD-307,587 Carrollton Rd,Temple,GA,30179,HD
HD-308,624 N Church St,Thomaston,GA,30286,HD
HD-309,1440 Remington Ave,Thomasville,GA,31792,HD
HD-310,178 Southwell Blvd,Tifton,GA,31794,HD
HD-311,318 S Virginia Ave,Tifton,GA,31794,HD
HD-312,1002 Big A Rd,Toccoa,GA,30577,HD
HD-313,Highway 136 W. Killian,Trenton,GA,30752,HD
HD-314,2901 N Ashley St,Valdosta,GA,31602,HD
HD-315,816 S Patterson St,Valdosta,GA,31601,HD
HD-316,161 Commerce Dr,Villa Rica,GA,30180,HD
HD-317,2609 Plant Ave,Ware,GA,31501,HD
HD-318,2829 Watson Blvd,Warner Robins,GA,31093,HD
HD-319,113 N BROAD ST,WINDER,GA,30680,HD
HD-320,1118 S Clinton,Albia,IA,52531,HD
HD-321,1510 Sw Tradition Dr,Ankeny,IA,50023,HD
HD-322,1930 State St,Bettendorf,IA,52722,HD
HD-323,907 Lawrence Dr,Burlington,IA,52601,HD
HD-324,1981 Blairs Ferry Rd,Cedar Rapids,IA,52402,HD
HD-325,3505 29Th Ave Sw,Cedar Rapids,IA,52404,HD
HD-326,100 E Maple St,Centerville,IA,52544,HD
HD-327,2002 Court Ave,Chariton,IA,50049,HD
HD-328,329 Central Avenue West,Clarion,IA,50525,HD
HD-329,117 S 2nd St,Clinton,IA,52732,HD
HD-330,107 2Nd St,Coralville,IA,52241,HD
HD-331,3200 S Expressway St,Council Bluffs,IA,51501,HD
HD-332,807 W Taylor,Creston,IA,50801,HD
HD-333,5232 Brady Street,Davenport,IA,52806,HD
HD-334,1715 Division St,Davenport,IA,52804,HD
HD-335,8755 University Ave,Des Moines,IA,50325,HD
HD-336,1449 E Euclid Ave,Des Moines,IA,50316,HD
HD-337,915 Army Post Rd,Des Moines,IA,50315,HD
HD-338,2100 Twin Valley Dr,Dubuque,IA,52003,HD
HD-339,105 S 9Th Ave,Eldridge,IA,52748,HD
HD-340,1400 Industrial Park Road,Ellsworth,IA,50075,HD
HD-341,1736 Central Ave,Estherville,IA,51334,HD
HD-342,6 S 15Th St,Fort Dodge,IA,50501,HD
HD-343,1431 Avenue H,Fort Madison,IA,52627,HD
HD-344,605 Highway 18 West,Garner,IA,50438,HD
HD-345,10 3rd Street Sw,Hampton,IA,50441,HD
HD-346,2010 Indorf Avenue,Holstein,IA,51025,HD
HD-347,1203 10Th Ave N,Humboldt,IA,50548,HD
HD-348,300 East Trail Ridge Ave,Indianola,IA,50125,HD
HD-349,1405 S Lincoln St,Knoxville,IA,50138,HD
HD-350,1205 Hawkeye Ave Sw,Le Mars,IA,51031,HD
HD-351,205 W Main,Manchester,IA,52057,HD
HD-352,902 S Center St,Marshalltown,IA,50158,HD
HD-353,515 S Delaware,Mason City,IA,50401,HD
HD-354,102 Highway 1 S,Mount Vernon,IA,52314,HD
HD-355,905 E Washington St,Mt Pleasant,IA,52641,HD
HD-356,705 Grandview Ave,Muscatine,IA,52761,HD
HD-357,1205 W 19Th St S,Newton,IA,50208,HD
HD-358,809 Albany Place,Orange City,IA,51041,HD
HD-359,1787 Venture Dr,Ottumwa,IA,52501,HD
HD-360,505 2Nd Ave,Sheldon,IA,51201,HD
HD-361,660 N Main,Sioux Center,IA,51250,HD
HD-362,910 Gordon Dr,Sioux City,IA,51101,HD
HD-363,4440 Sergeant Road,Sioux City,IA,51106,HD
HD-364,704 South Grand,Spencer,IA,51301,HD
HD-365,605 Flindt Drive,Storm Lake,IA,50588,HD
HD-366,601 Cedar St.,Tipton,IA,52772,HD
HD-367,118 W Highway 30,Toledo,IA,52342,HD
HD-368,805 Franklin St,Waterloo,IA,50703,HD
HD-369,1410 Flammang Dr,Waterloo,IA,50702,HD
HD-370,503 Rossville Rd,Waukon,IA,52172,HD
HD-371,117 Hwy 150 North,West Union,IA,52175,HD
HD-372,1007 N John Wayne Dr,Winterset,IA,50273,HD
HD-373,140 E Vienna St,Anna,IL,62906,HD
HD-374,5515 S Adams St,Bartonville,IL,61607,HD
HD-375,10095 Us Hwy 67,Beardstown,IL,62618,HD
HD-376,2 S Belt E,Belleville,IL,62220,HD
HD-377,1617 N Belt West,Belleville,IL,62226,HD
HD-378,2516 Green Mount Commons Dr,Belleville,IL,62221,HD
HD-379,629 W Main St,Benton,IL,62812,HD
HD-380,8800 Old US Highway 50,Breese,IL,62230,HD
HD-381,220 Green St,Bushnell,IL,61422,HD
HD-382,638 N Main St,Canton,IL,61520,HD
HD-383,454 N Broad St,Carlinville,IL,62626,HD
HD-384,1251 12th St,Carlyle,IL,62231,HD
HD-385,1308 S Division St,Carterville,IL,62918,HD
HD-386,123 N. Madison,Carthage,IL,62321,HD
HD-387,8850 Petroff Dr,Caseyville,IL,62232,HD
HD-388,750 W Broadway,Centralia,IL,62801,HD
HD-389,1806 W Bradley Ave,Champaign,IL,61821,HD
HD-390,331 N Main St,Chatham,IL,62629,HD
HD-391,217 W Holmes St,Chester,IL,62233,HD
HD-392,108 N 4th St,Chillicothe,IL,61523,HD
HD-393,307 S Grant St,Clinton,IL,61727,HD
HD-394,519 Belt Line Rd,Collinsville,IL,62234,HD
HD-395,15 W Fairchild St,Danville,IL,61832,HD
HD-396,1080 W Eldorado St,Decatur,IL,62522,HD
HD-397,3925 County Fair Drive,Decatur,IL,62526,HD
HD-398,619 S Galena St,Dixon,IL,61021,HD
HD-399,322 S Washington St,Du Quoin,IL,62832,HD
HD-400,12 W Northbrook Dr,Dwight,IL,60420,HD
HD-401,4008 Kennedy Dr,East Moline,IL,61244,HD
HD-402,101 N Main St,East Peoria,IL,61611,HD
HD-403,1505 W Fayette Ave,Effingham,IL,62401,HD
HD-404,1205 Us Highway 45 N,Eldorado,IL,62930,HD
HD-405,507 W Center St,Eureka,IL,61530,HD
HD-406,1413 Knox Highway 9,Galesburg,IL,61401,HD
HD-407,913 East Main,Galesburg,IL,61401,HD
HD-408,2163 S Oakwood Ave,Geneseo,IL,61254,HD
HD-409,"4207 S, Il-159",Glen Carbon,IL,62034,HD
HD-410,2720 Godfrey Rd,Godfrey,IL,62035,HD
HD-411,3249 W Chain Of Rocks,Granite City,IL,62040,HD
HD-412,700 E Poplar,Harrisburg,IL,62946,HD
HD-413,401 W Dearborn St,Havana,IL,62644,HD
HD-414,615 S Park Ave,Herrin,IL,62948,HD
HD-415,12620 State Rte 143,Highland,IL,62249,HD
HD-416,201 School St,Hillsboro,IL,62049,HD
HD-417,842 W Morton Ave,Jacksonville,IL,62650,HD
HD-418,528 S State St,Jerseyville,IL,62052,HD
HD-419,1310 State St,Lawrenceville,IL,62439,HD
HD-420,539 Woodlawn Rd,Lincoln,IL,62656,HD
HD-421,1106 N Carbon St,Marion,IL,62959,HD
HD-422,1117 Lakeland Blvd,Mattoon,IL,61938,HD
HD-423,601 Ferry St,Metropolis,IL,62960,HD
HD-424,Us 67 & 3rd Avenue,Milan,IL,61264,HD
HD-425,2301 16th Street,Moline,IL,61265,HD
HD-426,309 N Market St,Monticello,IL,61856,HD
HD-427,St. Rt 6 & Brisbin Rd,Morris,IL,60450,HD
HD-428,4333 Broadway St,Mount Vernon,IL,62864,HD
HD-429,1600 Broadway St,Mount Vernon,IL,62864,HD
HD-430,340 Walnut St,Murphysboro,IL,62966,HD
HD-431,180 S Mill St,Nashville,IL,62263,HD
HD-432,8690 Richter School Rd,New Baden,IL,62265,HD
HD-433,701 West Jourdan Avenue,Newton,IL,62448,HD
HD-434,1523 E College Ave,Normal,IL,61761,HD
HD-435,17919 Newton Road,Oakwood,IL,61858,HD
HD-436,110 East Highway 50,O Fallon,IL,62269,HD
HD-437,124 Hartman Ln,O Fallon,IL,62269,HD
HD-438,1001 W Walnut St,Oglesby,IL,61348,HD
HD-439,2625 Columbus St,Ottawa,IL,61350,HD
HD-440,316 S Main St,Paris,IL,61944,HD
HD-441,451 W Ottawa Rd,Paxton,IL,60957,HD
HD-442,105 N 5Th St,Pekin,IL,61554,HD
HD-443,3505 Ne Adams St,Peoria,IL,61603,HD
HD-444,8787 N Knoxville Ave,Peoria,IL,61615,HD
HD-445,3909 W War Memorial Drive,Peoria,IL,61615,HD
HD-446,3431 N University Street,Peoria,IL,61604,HD
HD-447,401 E Sangamon Ave,Petersburg,IL,62675,HD
HD-448,1526 No 12Th St,Quincy,IL,62301,HD
HD-449,2916 Broadway,Quincy,IL,62301,HD
HD-450,502 E. Main Street,Robinson,IL,62454,HD
HD-451,400 Steward Rd,Rochelle,IL,61068,HD
